ост	229670	0.00494
что	227357	0.00489
про	201967	0.00434
ого	198516	0.00427
его	190113	0.00409
ени	188741	0.00406
ста	174349	0.00375
ать	168130	0.00362
при	164254	0.00353
ест	155989	0.00335
енн	153292	0.00330
ств	150516	0.00324
сто	149674	0.00322
тор	149334	0.00321
как	143085	0.00308
оро	140305	0.00302
это	139731	0.00300
оль	136075	0.00293
ото	134762	0.00290
ере	131111	0.00282
ова	125805	0.00271
льн	121812	0.00262
мен	120948	0.00260
тел	120064	0.00258
али	119764	0.00258
раз	119390	0.00257
был	117788	0.00253
под	117498	0.00253
пер	116571	0.00251
вер	114451	0.00246
нно	110348	0.00237
сти	110265	0.00237
стр	108029	0.00232
ско	106739	0.00230
так	105971	0.00228
тся	104522	0.00225
ние	103594	0.00223
ить	101814	0.00219
или	101237	0.00218
аза	100565	0.00216
ово	99929	0.00215
ска	99795	0.00215
ель	99577	0.00214
пол	98750	0.00212
вал	98640	0.00212
ани	98020	0.00211
каз	97997	0.00211
ред	96987	0.00209
дел	96782	0.00208
ает	96229	0.00207
лся	95587	0.00206
пре	95518	0.00205
пос	93319	0.00201
лов	92997	0.00200
оло	92942	0.00200
все	92797	0.00200
ник	92006	0.00198
том	91689	0.00197
лен	90892	0.00195
ног	89460	0.00192
ния	88133	0.00190
сть	87360	0.00188
ной	86264	0.00186
ове	86194	0.00185
нны	86025	0.00185
аст	85491	0.00184
рос	83723	0.00180
рас	82657	0.00178
одн	82479	0.00177
ког	82215	0.00177
кот	81959	0.00176
ами	81941	0.00176
нов	81095	0.00174
ров	79371	0.00171
оди	79133	0.00170
ако	78586	0.00169
зна	77528	0.00167
ите	77329	0.00166
ный	75984	0.00163
они	75621	0.00163
нос	75467	0.00162
ком	74353	0.00160
ски	74038	0.00159
сво	73339	0.00158
тво	73160	0.00157
ист	72370	0.00156
тве	72268	0.00155
аль	71598	0.00154
гда	70854	0.00152
род	70444	0.00151
ала	70274	0.00151
ись	69691	0.00150
рав	69640	0.00150
тра	68930	0.00148
вор	68518	0.00147
тал	68280	0.00147
ват	68146	0.00147
тол	68007	0.00146
сле	67775	0.00146
она	67388	0.00145
кон	66994	0.00144
етс	66954	0.00144
ыва	66557	0.00143
лос	65916	0.00142
ные	65696	0.00141
зал	65403	0.00141
жен	64868	0.00140
кой	64852	0.00139
ьно	64424	0.00139
ели	64094	0.00138
ным	63610	0.00137
лис	63553	0.00137
кол	63020	0.00136
ива	62890	0.00135
льк	62793	0.00135
ься	62728	0.00135
тре	62615	0.00135
ело	62178	0.00134
огд	62096	0.00134
еск	61703	0.00133
ных	61270	0.00132
сте	61067	0.00131
ори	60817	0.00131
спо	60435	0.00130
оже	59697	0.00128
ько	59171	0.00127
ран	58787	0.00126
руг	58676	0.00126
ход	58548	0.00126
тьс	58508	0.00126
вид	58266	0.00125
бра	57638	0.00124
ало	57611	0.00124
ему	57422	0.00123
ому	57271	0.00123
ела	57088	0.00123
лас	57087	0.00123
тер	56988	0.00123
чес	56706	0.00122
вет	56232	0.00121
сам	55750	0.00120
иче	55678	0.00120
нул	55523	0.00119
пра	55431	0.00119
бол	55408	0.00119
буд	55346	0.00119
ави	55168	0.00119
рем	54533	0.00117
тро	54438	0.00117
тог	54379	0.00117
ков	53933	0.00116
дно	53807	0.00116
дру	53729	0.00116
обр	53716	0.00116
ень	53600	0.00115
ина	53593	0.00115
оры	53477	0.00115
гов	52938	0.00114
мер	52905	0.00114
ден	52607	0.00113
ерн	52343	0.00113
ним	52012	0.00112
оче	51839	0.00111
ном	50493	0.00109
мож	50259	0.00108
чен	50233	0.00108
ате	50220	0.00108
вен	50164	0.00108
пот	49879	0.00107
анн	49844	0.00107
воз	48984	0.00105
сли	48831	0.00105
еле	48782	0.00105
иде	48072	0.00103
оле	47862	0.00103
дал	47641	0.00102
ика	47320	0.00102
одо	47178	0.00101
жно	47010	0.00101
сил	46826	0.00101
соб	46596	0.00100
тав	46587	0.00100
час	46543	0.00100
ром	46508	0.00100
гор	46475	0.00100
кор	46464	0.00100
ван	46183	0.00099
нач	46130	0.00099
пок	46075	0.00099
тно	46067	0.00099
обы	45889	0.00099
рат	45885	0.00099
ыло	45758	0.00098
ода	45584	0.00098
мне	45539	0.00098
вое	45457	0.00098
чно	45412	0.00098
осл	45407	0.00098
тан	45394	0.00098
ось	45368	0.00098
ико	45181	0.00097
нас	45129	0.00097
гла	44801	0.00096
вил	44631	0.00096
сло	44470	0.00096
над	44242	0.00095
дит	44218	0.00095
чер	44134	0.00095
уст	43811	0.00094
ила	43356	0.00093
мно	43130	0.00093
ора	43128	0.00093
ное	43040	0.00093
лед	42896	0.00092
ока	42886	0.00092
сов	42874	0.00092
мал	42679	0.00092
име	41668	0.00090
еня	41468	0.00089
дин	41436	0.00089
тил	41300	0.00089
дол	41231	0.00089
мог	41032	0.00088
нет	40999	0.00088
аже	40874	0.00088
чит	40581	0.00087
есл	40567	0.00087
вре	40369	0.00087
тов	40214	0.00086
сно	40041	0.00086
рит	40014	0.00086
чем	39924	0.00086
вол	39813	0.00086
дов	39527	0.00085
чал	39441	0.00085
уже	38990	0.00084
ают	38933	0.00084
дет	38882	0.00084
рев	38819	0.00083
еще	38693	0.00083
око	38693	0.00083
дом	38513	0.00083
асс	38492	0.00083
пом	38057	0.00082
ита	38044	0.00082
вой	37946	0.00082
нес	37887	0.00081
ете	37677	0.00081
вит	37357	0.00080
луч	37313	0.00080
для	37257	0.00080
гол	37036	0.00080
рес	37031	0.00080
кто	36950	0.00079
вно	36904	0.00079
год	36882	0.00079
ило	36877	0.00079
тоб	36845	0.00079
пор	36813	0.00079
ная	36775	0.00079
обо	36702	0.00079
ять	36245	0.00078
отр	36131	0.00078
алс	36060	0.00078
кра	36002	0.00077
рен	35912	0.00077
мес	35887	0.00077
вод	35836	0.00077
аме	35810	0.00077
ови	35785	0.00077
лет	35724	0.00077
льш	35610	0.00077
еме	35532	0.00076
вес	35492	0.00076
кам	35463	0.00076
слу	35335	0.00076
оси	35314	0.00076
ати	35310	0.00076
еди	35213	0.00076
ебе	35163	0.00076
аки	35087	0.00075
ась	34854	0.00075
олн	34750	0.00075
ино	34677	0.00075
илс	34554	0.00074
ожн	34395	0.00074
всё	34380	0.00074
кий	33906	0.00073
оне	33896	0.00073
уда	33883	0.00073
тат	33835	0.00073
вши	33771	0.00073
ьны	33521	0.00072
нам	33235	0.00071
рон	33110	0.00071
ума	33013	0.00071
ент	32970	0.00071
ери	32963	0.00071
дер	32953	0.00071
има	32909	0.00071
ими	32905	0.00071
нут	32824	0.00071
ара	32714	0.00070
хот	32612	0.00070
вед	32579	0.00070
три	32554	0.00070
вос	32494	0.00070
рот	32444	0.00070
але	32398	0.00070
ерт	32302	0.00069
ыми	32264	0.00069
пов	31765	0.00068
вст	31731	0.00068
вае	31716	0.00068
нен	31693	0.00068
ебя	31605	0.00068
ава	31558	0.00068
ари	31506	0.00068
нал	31430	0.00068
ети	31328	0.00067
ано	31243	0.00067
авл	31197	0.00067
гра	31118	0.00067
там	31081	0.00067
жал	31077	0.00067
сту	31072	0.00067
ман	31005	0.00067
рог	30919	0.00066
нег	30853	0.00066
жет	30591	0.00066
уде	30565	0.00066
оре	30469	0.00066
рин	30199	0.00065
тар	30194	0.00065
вле	30046	0.00065
ких	29896	0.00064
себ	29824	0.00064
сем	29784	0.00064
гос	29776	0.00064
мет	29671	0.00064
иро	29611	0.00064
оте	29557	0.00064
оде	29548	0.00064
нак	29498	0.00063
кие	29471	0.00063
оли	29463	0.00063
пис	29462	0.00063
мат	29445	0.00063
пон	29401	0.00063
вои	29321	0.00063
отв	29294	0.00063
чел	29286	0.00063
шен	29280	0.00063
амо	29258	0.00063
тот	29058	0.00062
зат	28983	0.00062
дил	28923	0.00062
ера	28879	0.00062
кры	28741	0.00062
пус	28678	0.00062
ена	28642	0.00062
рил	28566	0.00061
ней	28522	0.00061
све	28477	0.00061
ожи	28448	0.00061
вот	28304	0.00061
овы	28296	0.00061
изн	28138	0.00061
рез	28080	0.00060
тоя	28063	0.00060
рис	28024	0.00060
нич	28002	0.00060
ину	27990	0.00060
той	27942	0.00060
каж	27909	0.00060
нап	27855	0.00060
без	27841	0.00060
ана	27829	0.00060
стн	27738	0.00060
ача	27732	0.00060
теб	27671	0.00060
еде	27666	0.00059
рал	27656	0.00059
рук	27605	0.00059
кро	27539	0.00059
осо	27248	0.00059
ющи	27240	0.00059
нар	27192	0.00058
ким	27185	0.00058
спр	27106	0.00058
век	27090	0.00058
нии	27042	0.00058
раб	26973	0.00058
ира	26932	0.00058
рно	26925	0.00058
ерв	26857	0.00058
ато	26825	0.00058
оги	26822	0.00058
ерь	26782	0.00058
обе	26623	0.00057
осп	26539	0.00057
зап	26515	0.00057
лож	26478	0.00057
тва	26476	0.00057
опр	26341	0.00057
смо	26336	0.00057
едо	26315	0.00057
рел	26288	0.00057
аро	26274	0.00057
ешь	26268	0.00056
лаг	26241	0.00056
дос	26234	0.00056
оме	26181	0.00056
тив	26082	0.00056
поч	26035	0.00056
адо	25949	0.00056
ьше	25945	0.00056
ече	25936	0.00056
зам	25890	0.00056
доб	25882	0.00056
есь	25859	0.00056
оду	25787	0.00055
вля	25731	0.00055
сер	25711	0.00055
рик	25603	0.00055
ную	25584	0.00055
тит	25582	0.00055
омн	25571	0.00055
омо	25557	0.00055
жив	25555	0.00055
рет	25546	0.00055
дни	25530	0.00055
ета	25487	0.00055
очн	25434	0.00055
мол	25415	0.00055
дум	25369	0.00055
зве	25361	0.00055
дес	25120	0.00054
рош	25092	0.00054
дан	25038	0.00054
мот	24914	0.00054
або	24880	0.00054
мир	24868	0.00053
уча	24864	0.00053
сег	24826	0.00053
рои	24808	0.00053
чег	24791	0.00053
нем	24781	0.00053
авн	24667	0.00053
ики	24597	0.00053
люд	24538	0.00053
едн	24536	0.00053
зак	24530	0.00053
ине	24516	0.00053
мин	24493	0.00053
лад	24476	0.00053
теп	24364	0.00052
лив	24350	0.00052
отк	24306	0.00052
тен	24294	0.00052
сме	24282	0.00052
еро	24245	0.00052
лич	24190	0.00052
ене	24172	0.00052
иль	24150	0.00052
нее	24118	0.00052
иво	24071	0.00052
дав	24016	0.00052
эти	24014	0.00052
пал	23935	0.00051
ающ	23924	0.00051
тны	23862	0.00051
рив	23859	0.00051
дст	23831	0.00051
нат	23826	0.00051
ыли	23808	0.00051
нит	23778	0.00051
оно	23756	0.00051
гля	23725	0.00051
охо	23705	0.00051
аго	23539	0.00051
быт	23524	0.00051
ием	23502	0.00051
точ	23455	0.00050
наш	23429	0.00050
учи	23400	0.00050
сла	23397	0.00050
рад	23396	0.00050
зыв	23367	0.00050
ний	23297	0.00050
пла	23296	0.00050
кое	23294	0.00050
ежд	23226	0.00050
тем	23209	0.00050
люб	23078	0.00050
лин	22985	0.00049
дей	22910	0.00049
лиц	22856	0.00049
уго	22854	0.00049
ака	22813	0.00049
епе	22769	0.00049
жде	22768	0.00049
ома	22698	0.00049
овн	22697	0.00049
нск	22694	0.00049
огл	22657	0.00049
ада	22517	0.00048
оти	22490	0.00048
лав	22476	0.00048
них	22356	0.00048
тви	22276	0.00048
ево	22229	0.00048
ерж	22208	0.00048
лан	22141	0.00048
зем	22141	0.00048
аци	22024	0.00047
ота	22019	0.00047
